,User ID,Datum,Label
156,Boehmermensch,2023-01-13,neutral
157,Fransenlipper,2023-01-12,neutral
158,BerndRitter9,2023-01-12,neutral
159,pacho200001,2023-01-12,positive
160,TheMarosh,2023-01-12,neutral
161,Silver77782523,2023-01-12,neutral
162,_AIQIA_,2023-01-12,neutral
163,Lolliball22,2023-01-12,positive
164,milkrun,2023-01-12,neutral
165,vcbloemer,2023-01-12,neutral
166,PrivateU,2023-01-12,neutral
167,MittePolitik,2023-01-12,neutral
168,Teslaconomics,2023-01-12,neutral
169,NSelbstdenker,2023-01-12,neutral
170,DirkDb1001,2023-01-12,positive
171,MaaadX23,2023-01-12,positive
172,Birgit93Birgit,2023-01-12,neutral
173,Donars_Raven,2023-01-12,negative
174,dieter_am,2023-01-12,neutral
175,majavonvogelapp,2023-01-12,neutral
176,patbull2022,2023-01-12,neutral
177,test5f1798,2023-01-12,negative
178,Claudia91542025,2023-01-12,neutral
179,ndelengliwat,2023-01-12,neutral
180,SnezanaReimann,2023-01-12,neutral
181,Snezana_Reimann,2023-01-12,neutral
182,Birgit93Birgit,2023-01-12,positive
183,ReimannSnezana,2023-01-12,neutral
184,Lotti83426402,2023-01-12,positive
185,CorvidaeDotCom,2023-01-12,neutral
186,AnnasBackwelt,2023-01-12,neutral
187,Friedri34345744,2023-01-12,positive
188,ohrenbar,2023-01-12,neutral
189,turi2,2023-01-12,neutral
190,Spiegel4D,2023-01-12,neutral
191,BraungardtR,2023-01-12,neutral
192,NGedacht,2023-01-12,neutral
193,DirkDb1001,2023-01-12,negative
194,fisher_fur,2023-01-12,neutral
195,damarjati_dimas,2023-01-12,neutral
196,Qrkanstaerke12,2023-01-12,positive
197,pi_do_ri,2023-01-12,neutral
198,ArmesDeutschla4,2023-01-12,negative
199,solar4me,2023-01-12,negative
200,nemissimo,2023-01-12,neutral
201,NetterAlter,2023-01-12,neutral
202,marcoli08242191,2023-01-12,neutral
203,Instants_1,2023-01-12,neutral
204,p_francoforte,2023-01-12,negative
205,MariaR_2_0,2023-01-12,positive
206,nachtzukurz,2023-01-12,negative
207,The_RealJoe1958,2023-01-12,neutral
208,ErnstvAll,2023-01-12,neutral
209,MarenSchiegl,2023-01-12,neutral
210,Xgiovis,2023-01-12,neutral
211,ingo1960,2023-01-12,negative
212,AlienJesus123,2023-01-12,neutral
213,Achso70179771,2023-01-12,neutral
214,lutz_pietrowski,2023-01-12,neutral
215,berlinerzeitung,2023-01-12,neutral
216,maditaforprez,2023-01-12,positive
217,DanielKoBecker,2023-01-12,negative
218,Fr3sser,2023-01-12,negative
219,jasmindizdar,2023-01-12,negative
220,IFilonczuk,2023-01-12,neutral
221,KindGOTTES2020,2023-01-12,neutral
222,NeoNicklus,2023-01-12,negative
223,Bibi41102713,2023-01-12,neutral
224,damnslickz,2023-01-12,neutral
225,muellerheidrun5,2023-01-12,neutral
226,Nifloor,2023-01-12,negative
227,odin1500,2023-01-12,neutral
228,SokolarAngela,2023-01-12,neutral
229,Ben___Berlin,2023-01-12,positive
230,Nina_die_Katze,2023-01-12,negative
231,qjuji_,2023-01-12,negative
232,VolkerHinz7,2023-01-12,negative
233,Nightfogwings_M,2023-01-12,neutral
234,pkoschel,2023-01-12,negative
235,SchmiddieMaik,2023-01-12,negative
236,LamorPolle,2023-01-12,negative
237,Michael_Karalus,2023-01-12,negative
238,Guardofbrain,2023-01-12,neutral
239,StockertIris,2023-01-12,neutral
240,ElviWV,2023-01-12,negative
241,RH02489050,2023-01-12,positive
242,angi_eleba,2023-01-12,neutral
